Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Essence1,Essence,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>SW698 RELIC </span></div><div><strong>Color: </strong><span>01050 ESSENCE </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>MIXED</span></div><div><strong>Plank Width: </strong><span>3.30  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>27.41</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>DISTRESSED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>20 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,SW698 RELIC ,01050 ESSENCE ,Repel,MIXED,3.30  in.,Random,1/2  in.,REPEL - WATER RESIST     ,27.41,MICRO BEVEL                   ,DISTRESSED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,NO,20 ,Canada,YES,USA,RELIC",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SW698_01050_ROOM?id=8-Pr11&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Reverie2,Reverie,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>SW698 RELIC </span></div><div><strong>Color: </strong><span>02038 REVERIE </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>MIXED</span></div><div><strong>Plank Width: </strong><span>3.30  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>27.41</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>DISTRESSED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>20 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,SW698 RELIC ,02038 REVERIE ,Repel,MIXED,3.30  in.,Random,1/2  in.,REPEL - WATER RESIST     ,27.41,MICRO BEVEL                   ,DISTRESSED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,NO,20 ,Canada,YES,USA,RELIC",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SW698_02038_ROOM?id=u_dsL0&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Vestige3,Vestige,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>SW698 RELIC </span></div><div><strong>Color: </strong><span>05064 VESTIGE </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>MIXED</span></div><div><strong>Plank Width: </strong><span>3.30  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>27.41</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>DISTRESSED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>20 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,SW698 RELIC ,05064 VESTIGE ,Repel,MIXED,3.30  in.,Random,1/2  in.,REPEL - WATER RESIST     ,27.41,MICRO BEVEL                   ,DISTRESSED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,NO,20 ,Canada,YES,USA,RELIC",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SW698_05064_ROOM?id=KVXra0&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Curio4,Curio,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>SW698 RELIC </span></div><div><strong>Color: </strong><span>09036 CURIO </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>MIXED</span></div><div><strong>Plank Width: </strong><span>3.30  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>27.41</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>DISTRESSED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>20 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,SW698 RELIC ,09036 CURIO ,Repel,MIXED,3.30  in.,Random,1/2  in.,REPEL - WATER RESIST     ,27.41,MICRO BEVEL                   ,DISTRESSED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,NO,20 ,Canada,YES,USA,RELIC",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SW698_09036_ROOM?id=J7_r63&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Luminous5,Luminous,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>221SA INSPIRATIONS HICKORY </span></div><div><strong>Color: </strong><span>01033 LUMINOUS </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>HICKORY</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,221SA INSPIRATIONS HICKORY ,01033 LUMINOUS ,Repel,HICKORY,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS HICKORY",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Radiance6,Radiance,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>221SA INSPIRATIONS HICKORY </span></div><div><strong>Color: </strong><span>07036 RADIANCE </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>HICKORY</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,221SA INSPIRATIONS HICKORY ,07036 RADIANCE ,Repel,HICKORY,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS HICKORY",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/221SA_07036_ROOM?id=NYQr90&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Majestic7,Majestic,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>221SA INSPIRATIONS HICKORY </span></div><div><strong>Color: </strong><span>09023 MAJESTIC </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>HICKORY</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,221SA INSPIRATIONS HICKORY ,09023 MAJESTIC ,Repel,HICKORY,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS HICKORY",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Timber8,Timber,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>213SA INSPIRATIONS WHITE OAK </span></div><div><strong>Color: </strong><span>01027 TIMBER </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>WHITE OAK</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,213SA INSPIRATIONS WHITE OAK ,01027 TIMBER ,Repel,WHITE OAK,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS WHITE OAK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/213SA_01027_ROOM?id=q1KrN3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Wilderness9,Wilderness,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>213SA INSPIRATIONS WHITE OAK </span></div><div><strong>Color: </strong><span>05048 WILDERNESS </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>WHITE OAK</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,213SA INSPIRATIONS WHITE OAK ,05048 WILDERNESS ,Repel,WHITE OAK,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS WHITE OAK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/213SA_05048_ROOM?id=cwasE0&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Terrain10,Terrain,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>213SA INSPIRATIONS WHITE OAK </span></div><div><strong>Color: </strong><span>07029 TERRAIN </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>WHITE OAK</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>REPEL - WATER RESIST     </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>WIREBRUSHED</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,213SA INSPIRATIONS WHITE OAK ,07029 TERRAIN ,Repel,WHITE OAK,7.00  in.,Random,1/2  in.,REPEL - WATER RESIST     ,23.58,MICRO BEVEL                   ,WIREBRUSHED,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS WHITE OAK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/213SA_07029_ROOM?id=zH6s40&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Vista11,Vista,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>212SA INSPIRATIONS MAPLE </span></div><div><strong>Color: </strong><span>02024 VISTA </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>RED MAPLE</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>SCUFRESIST PLATINUM      </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>SMOOTH</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,212SA INSPIRATIONS MAPLE ,02024 VISTA ,Repel,RED MAPLE,7.00  in.,Random,1/2  in.,SCUFRESIST PLATINUM      ,23.58,MICRO BEVEL                   ,SMOOTH,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS MAPLE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/212SA_02024_ROOM?id=1MUra3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sanctuary12,Sanctuary,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>212SA INSPIRATIONS MAPLE </span></div><div><strong>Color: </strong><span>05046 SANCTUARY </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>RED MAPLE</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>SCUFRESIST PLATINUM      </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>SMOOTH</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,212SA INSPIRATIONS MAPLE ,05046 SANCTUARY ,Repel,RED MAPLE,7.00  in.,Random,1/2  in.,SCUFRESIST PLATINUM      ,23.58,MICRO BEVEL                   ,SMOOTH,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS MAPLE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/212SA_05046_ROOM?id=bcOrv3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Celestial13,Celestial,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>212SA INSPIRATIONS MAPLE </span></div><div><strong>Color: </strong><span>05047 CELESTIAL </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>RED MAPLE</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>SCUFRESIST PLATINUM      </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>SMOOTH</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,212SA INSPIRATIONS MAPLE ,05047 CELESTIAL ,Repel,RED MAPLE,7.00  in.,Random,1/2  in.,SCUFRESIST PLATINUM      ,23.58,MICRO BEVEL                   ,SMOOTH,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS MAPLE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/212SA_05047_ROOM?id=8tDrb2&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Serenity14,Serenity,"<div><div><strong>Flooring Type: </strong><span>Hardwood</span></div><div><strong>Style: </strong><span>212SA INSPIRATIONS MAPLE </span></div><div><strong>Color: </strong><span>09019 SERENITY </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Species: </strong><span>RED MAPLE</span></div><div><strong>Plank Width: </strong><span>7.00  in.</span></div><div><strong>Plank Length: </strong><span>Random</span></div><div><strong>Nominal Plank Thickness: </strong><span>1/2  in.</span></div><div><strong>Finish: </strong><span>SCUFRESIST PLATINUM      </span></div><div><strong>sq.ft.per: </strong><span>23.58</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Surface Texture: </strong><span>SMOOTH</span></div><div><strong>Installation Method: </strong><span>NAIL/STAPLE/GLUE/FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Radiant Heat: </strong><span>YES</span></div><div><strong>Color Variation: </strong><span>CV3 - HIGH </span></div><div><strong>Light Sensitivity: </strong><span>NO</span></div><div><strong>Gloss Level: </strong><span>7 </span></div><div><strong>Not Available In: </strong><span>Canada</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Hardwood,"Hardwood,212SA INSPIRATIONS MAPLE ,09019 SERENITY ,Repel,RED MAPLE,7.00  in.,Random,1/2  in.,SCUFRESIST PLATINUM      ,23.58,MICRO BEVEL                   ,SMOOTH,NAIL/STAPLE/GLUE/FLOAT ,ABOVE, ON, BELOW              ,YES,CV3 - HIGH ,NO,7 ,Canada,YES,USA,INSPIRATIONS MAPLE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/212SA_09019_ROOM?id=7d5s53&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
