Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Badin Lake Hickory1,Badin Lake Hickory,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA501 TRESTLE RIDGE </span></div><div><strong>Color: </strong><span>00246 BADIN LAKE HICKORY </span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>30.66</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA501 TRESTLE RIDGE ,00246 BADIN LAKE HICKORY ,SCRAPED,5.43  in.,50.79,5/16  in.,30.66,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,TRESTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA501_00246_ROOM?id=1TOra1&fmt=jpg&fit=constrain,1&wid=997&hei=737",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Montreat Hickory2,Montreat Hickory,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA501 TRESTLE RIDGE </span></div><div><strong>Color: </strong><span>00917 MONTREAT HICKORY </span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>30.66</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA501 TRESTLE RIDGE ,00917 MONTREAT HICKORY ,SCRAPED,5.43  in.,50.79,5/16  in.,30.66,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,TRESTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA501_00917_ROOM?id=lcqrO3&fmt=jpg&fit=constrain,1&wid=998&hei=735",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Trailing Road3,Trailing Road,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA536 LANDMARK </span></div><div><strong>Color: </strong><span>00473 TRAILING ROAD </span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA536 LANDMARK ,00473 TRAILING ROAD ,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,LANDMARK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA536_00473_ROOM?id=TxKrA3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Assorted Canvas4,Assorted Canvas,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA595 CARRIAGE HOUSE </span></div><div><strong>Color: </strong><span>07030 ASSORTED CANVAS </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>6.20  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>17.44</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA595 CARRIAGE HOUSE ,07030 ASSORTED CANVAS ,Repel,EMBOSSED IN REGISTER,6.20  in.,50.79,15/32  in.,17.44,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,CARRIAGE HOUSE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA595_07030_ROOM?id=XpQrP3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sable Hickory5,Sable Hickory,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA589 HARBOUR TOWNE </span></div><div><strong>Color: </strong><span>07013 SABLE HICKORY </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA589 HARBOUR TOWNE ,07013 SABLE HICKORY ,Repel,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,HARBOUR TOWNE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA589_07013_ROOM?id=kP7r52&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Composed Gold6,Composed Gold,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA595 CARRIAGE HOUSE </span></div><div><strong>Color: </strong><span>02015 COMPOSED GOLD </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>6.20  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>17.44</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA595 CARRIAGE HOUSE ,02015 COMPOSED GOLD ,Repel,EMBOSSED IN REGISTER,6.20  in.,50.79,15/32  in.,17.44,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,CARRIAGE HOUSE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA595_02015_ROOM?id=BfRrJ3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Outpost Grey7,Outpost Grey,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA593 FREEPORT </span></div><div><strong>Color: </strong><span>05030 OUTPOST GREY </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA593 FREEPORT ,05030 OUTPOST GREY ,Repel,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,FREEPORT",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA593_05030_ROOM?id=t2krS3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Tourist Oak8,Tourist Oak,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA596 DAWSON RIDGE </span></div><div><strong>Color: </strong><span>02016 TOURIST OAK </span></div><div><strong>Collection: </strong><span>Shaw Laminate Collection</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>6.20  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>26.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA596 DAWSON RIDGE ,02016 TOURIST OAK ,Shaw Laminate Collection,EMBOSSED IN REGISTER,6.20  in.,50.79,5/16  in.,26.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,DAWSON RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Yadkin River Hickory9,Yadkin River Hickory,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA501 TRESTLE RIDGE </span></div><div><strong>Color: </strong><span>00852 YADKIN RIVER HICKORY </span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>30.66</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA501 TRESTLE RIDGE ,00852 YADKIN RIVER HICKORY ,SCRAPED,5.43  in.,50.79,5/16  in.,30.66,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,TRESTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA501_00852_ROOM?id=2RUrR2&fmt=jpg&fit=constrain,1&wid=998&hei=738",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Manhattan Oak10,Manhattan Oak,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA596 DAWSON RIDGE </span></div><div><strong>Color: </strong><span>09007 MANHATTAN OAK </span></div><div><strong>Collection: </strong><span>Shaw Laminate Collection</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>6.20  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>26.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA596 DAWSON RIDGE ,09007 MANHATTAN OAK ,Shaw Laminate Collection,EMBOSSED IN REGISTER,6.20  in.,50.79,5/16  in.,26.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,DAWSON RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Alloy11,Alloy,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA584 CASTLE RIDGE </span></div><div><strong>Color: </strong><span>05004 ALLOY </span></div><div><strong>Collection: </strong><span>Mixed Width</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>14.88  in.</span></div><div><strong>Plank Length: </strong><span>47.84</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.78</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA584 CASTLE RIDGE ,05004 ALLOY ,Mixed Width,EMBOSSED IN REGISTER,14.88  in.,47.84,15/32  in.,19.78,MICRO BEVEL                   ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,NO,China,CASTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Auburn Hickory12,Auburn Hickory,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SL378 PINNACLE PORT </span></div><div><strong>Color: </strong><span>07012 AUBURN HICKORY </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SL378 PINNACLE PORT ,07012 AUBURN HICKORY ,Repel,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,PINNACLE PORT",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SL378_07012_ROOM?id=vAore2&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ocean Sand13,Ocean Sand,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA590 PORT ROYAL </span></div><div><strong>Color: </strong><span>01007 OCEAN SAND </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA590 PORT ROYAL ,01007 OCEAN SAND ,Repel,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,PORT ROYAL",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA590_01007_ROOM?id=gWFrs2&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Lumberjack Hckry14,Lumberjack Hckry,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA536 LANDMARK </span></div><div><strong>Color: </strong><span>00786 LUMBERJACK HCKRY </span></div><div><strong>Finish: </strong><span>SCRAPED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA536 LANDMARK ,00786 LUMBERJACK HCKRY ,SCRAPED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,LANDMARK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA536_00786_ROOM?id=cwHr72&fmt=jpg&fit=constrain,1&wid=997&hei=734",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hillside Taupe15,Hillside Taupe,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA597 ELLENBURG </span></div><div><strong>Color: </strong><span>07032 HILLSIDE TAUPE </span></div><div><strong>Collection: </strong><span>Shaw Laminate Collection</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Plank Width: </strong><span>7.60  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>5/16  in.</span></div><div><strong>sq.ft.per: </strong><span>24.12</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA597 ELLENBURG ,07032 HILLSIDE TAUPE ,Shaw Laminate Collection,EIR,7.60  in.,50.79,5/16  in.,24.12,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,ELLENBURG",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Paradise Beige16,Paradise Beige,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA592 CADES COVE </span></div><div><strong>Color: </strong><span>01014 PARADISE BEIGE </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>WIREBRUSHED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA592 CADES COVE ,01014 PARADISE BEIGE ,Repel,WIREBRUSHED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,CADES COVE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA592_01014_ROOM?id=05Krz2&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Evening Walk17,Evening Walk,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA592 CADES COVE </span></div><div><strong>Color: </strong><span>05028 EVENING WALK </span></div><div><strong>Collection: </strong><span>Repel</span></div><div><strong>Finish: </strong><span>WIREBRUSHED</span></div><div><strong>Plank Width: </strong><span>5.43  in.</span></div><div><strong>Plank Length: </strong><span>50.79</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.16</span></div><div><strong>Edge Profile: </strong><span>BEVEL                         </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>YES</span></div><div><strong>Country Of Origin: </strong><span>USA</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA592 CADES COVE ,05028 EVENING WALK ,Repel,WIREBRUSHED,5.43  in.,50.79,15/32  in.,19.16,BEVEL                         ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,YES,USA,CADES COVE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA592_05028_ROOM?id=WPxrH1&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Galvanize18,Galvanize,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA584 CASTLE RIDGE </span></div><div><strong>Color: </strong><span>07006 GALVANIZE </span></div><div><strong>Collection: </strong><span>Mixed Width</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>14.88  in.</span></div><div><strong>Plank Length: </strong><span>47.84</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.78</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA584 CASTLE RIDGE ,07006 GALVANIZE ,Mixed Width,EMBOSSED IN REGISTER,14.88  in.,47.84,15/32  in.,19.78,MICRO BEVEL                   ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,NO,China,CASTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Forge19,Forge,"<div><div><strong>Flooring Type: </strong><span>Laminate</span></div><div><strong>Style: </strong><span>SA584 CASTLE RIDGE </span></div><div><strong>Color: </strong><span>01004 FORGE </span></div><div><strong>Collection: </strong><span>Mixed Width</span></div><div><strong>Finish: </strong><span>EMBOSSED IN REGISTER</span></div><div><strong>Plank Width: </strong><span>14.88  in.</span></div><div><strong>Plank Length: </strong><span>47.84</span></div><div><strong>Plank Thickness: </strong><span>15/32  in.</span></div><div><strong>sq.ft.per: </strong><span>19.78</span></div><div><strong>Edge Profile: </strong><span>MICRO BEVEL                   </span></div><div><strong>Installation Method: </strong><span>FLOAT </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Tongue & Groove Profile: </strong><span>GLUELESS</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div></div>",Shaw Flooring,Laminate,"Laminate,SA584 CASTLE RIDGE ,01004 FORGE ,Mixed Width,EMBOSSED IN REGISTER,14.88  in.,47.84,15/32  in.,19.78,MICRO BEVEL                   ,FLOAT ,ABOVE, ON, BELOW              ,GLUELESS,NO,China,CASTLE RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
